#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column int fEvent
#column int fEntry
#column string fPreProc
#column string fPostProc
#column int fTrackID
#column int fParentID
#column int fPDG
#column double fKinetic
#column double fEdep
#column double fX1
#column double fY1
#column double fZ1
#column double fX2
#column double fY2
#column double fZ2
#column int Copy
11050,1,Transportation,Transportation,1,0,2112,2.69339,0,4.75963,103.708,201.1,4.81894,105,200.927,1
11081,1,Transportation,hadElastic,1,0,2112,4.48778,0.0904304,2.36357,95,195.539,2.52405,101.45,194.217,1
11081,0,hadElastic,Transportation,1,0,2112,4.39737,0,2.52405,101.45,194.217,1.60213,105,195.613,1
11361,1,Transportation,hadElastic,1,0,2112,5.71441,0,95,2.82669,195.257,100.042,3.39227,194.563,0
11361,0,hadElastic,Transportation,1,0,2112,5.60181,0,100.042,3.39227,194.563,105,3.04755,195.525,0
11361,0,NA,ionIoni,2,1,1000030070,0.112624,0.112624,100.042,3.39227,194.563,100.042,3.39271,194.562,0
11519,1,Transportation,neutronInelastic,1,0,2112,6.66539,0,3.46584,95,195.344,3.73636,102.415,193.81,1
11519,0,NA,phot,12,1,22,0.00116879,0.000694,3.73636,102.415,193.81,3.73661,102.415,193.813,1
11519,0,NA,eIoni,13,12,11,0.000474787,0.000474787,3.73661,102.415,193.813,3.73661,102.415,193.813,1
11519,0,NA,phot,11,1,22,0.00116879,0.000694,3.73636,102.415,193.81,3.73617,102.415,193.808,1
11519,0,NA,eIoni,14,11,11,0.000474787,0.000474787,3.73617,102.415,193.808,3.73617,102.415,193.808,1
11519,0,NA,Transportation,10,1,22,0.1971,0,3.73636,102.415,193.81,5,103.591,195.935,1
11519,0,NA,Transportation,9,1,22,1.3569,0,3.73636,102.415,193.81,4.86844,104.539,191.1,1
11519,0,NA,ionIoni,8,1,1000090190,0.52351,0.52351,3.73636,102.415,193.81,3.73572,102.416,193.81,1
11519,0,NA,Transportation,7,1,2112,4.58554,0,3.73636,102.415,193.81,5,102.563,193.977,1
11814,1,Transportation,Transportation,1,0,2112,5.82896,0,0.636514,-95,191.111,0.636816,-95.0451,191.1,3
11962,1,Transportation,Transportation,1,0,2112,4.85094,0,-2.13652,95,200.12,-2.36142,105,198.554,1
11966,1,Transportation,Transportation,2,1,2112,0.881426,0,1.12241,95,198.505,-0.146241,105,196.954,1
12052,1,Transportation,Transportation,5,1,22,2.61455,0,-101.28,3.43528,201.1,-105,4.26158,200.61,2
12120,1,Transportation,Transportation,7,4,22,0.510999,0,95,2.81055,192.763,101.88,3.89031,191.1,0
12402,1,Transportation,Transportation,1,0,2112,5.40552,0,1.6568,95,197.481,1.8312,105,195.636,1
12435,1,Transportation,Transportation,2,0,22,4.44,0,2.82001,95,195.814,3.11686,105,193.795,1
